,,,,dr,dr,net,Actual holding,p&l,Backtest Portfolio
2025-01-28 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-27 00:00:00,20068247.97,0,-20068247.97,18183148,-1885099.9699999988,18206739
2025-01-29 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-28 00:00:00,20068247.97,0,-20068247.97,17962437,-2105810.969999999,18603690
2025-01-30 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-29 00:00:00,20068247.97,0,-20068247.97,18362801,-1705446.9699999988,18446840
2025-01-31 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-30 00:00:00,20068247.97,0,-20068247.97,18199545,-1868702.9699999988,18738328
2025-02-01 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-01-31 00:00:00,20068247.97,0,-20068247.97,18537984,-1530263.9699999988,18738328
2025-02-03 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-01 00:00:00,20068247.97,0,-20068247.97,18449602,-1618645.9699999988,18506953
2025-02-04 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-03 00:00:00,20068247.97,0,-20068247.97,18170004,-1898243.9699999988,18790745
2025-02-05 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-04 00:00:00,20068247.97,0,-20068247.97,18523999,-1544248.9699999988,19019720
2025-02-06 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-05 00:00:00,20068247.97,0,-20068247.97,18782863,-1285384.9699999988,18806376
2025-02-07 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-06 00:00:00,20068247.97,0,-20068247.97,18540811,-1527436.9699999988,18989226
2025-02-10 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-07 00:00:00,20068247.97,0,-20068247.97,18754639,-1313608.9699999988,18590318
2025-02-11 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-10 00:00:00,20068247.97,0,-20068247.97,18308548,-1759699.9699999988,18590318
2025-02-12 00:00:00,Settlement Posting-NG4211,DLV2-0711-NG4211/HPC39_6,2025-02-11 00:00:00,20068247.97,0,-20068247.97,17825146,-2243101.969999999,18590318
